id,label,title,year,venue,status,tags,doi,paper_url,preprint_url,code_url,added_at,updated_at,code_status,tag_review_basis
response-magnitude,Response Magnitude,Response Magnitude as a Dominant Signal for Held-Out CRISPRi Perturbation Effect Prediction,2026,arXiv,preprint,Benchmark|Perturbation|Foundation Model,,,https://arxiv.org/abs/2608.00152,,,2026-09-26,not_found,abstract
saffron,SAFFRON,Evaluating the ability of spatial transcriptomics foundation models to learn multi-scale spatial variation,2026,bioRxiv,preprint,Benchmark|Foundation Model|Spatial,10.64898/2026.08.01.742217,,https://doi.org/10.64898/2026.08.01.742217,https://github.com/chitra-lab/SAFFRON,,2026-09-26,project_match,abstract
confound-diagnostics,Confound Diagnostics,A confound-diagnostic toolkit for in silico perturbation with single-cell foundation models,2026,bioRxiv,preprint,Benchmark|Foundation Model|Perturbation|Tool,10.64898/2026.08.04.732812,,https://doi.org/10.64898/2026.08.04.732812,,,2026-09-26,not_found,abstract
reliable-perturbations,Reliable Perturbations,Reliable single-cell perturbations explain and improve model performance,2026,bioRxiv,preprint,Benchmark|Perturbation,10.64898/2026.08.11.744177,,https://doi.org/10.64898/2026.08.11.744177,,,2026-09-26,not_found,abstract
cell-line-bottleneck,Cell Line Bottleneck,Cancer Cell Line Heterogeneity Imposes a Primary Bottleneck for Virtual Perturbation Screening at Scale,2026,bioRxiv,preprint,Benchmark|Perturbation,10.64898/2026.08.10.743942,,https://doi.org/10.64898/2026.08.10.743942,,,2026-09-26,not_found,abstract
st-agent-benchmark,ST Agent Benchmark,Mind the alignment gap: a spatial transcriptomics benchmark for scientific coding agents,2026,bioRxiv,preprint,Benchmark|Agent|Spatial,10.64898/2026.07.05.736638,,https://doi.org/10.64898/2026.07.05.736638,,,2026-09-26,not_found,abstract
crisprko-vs-crispri,CRISPRko vs CRISPRi,Direct comparison of CRISPR knockout and interference with Perturb-seq,2026,bioRxiv,preprint,Benchmark|Dataset|Perturbation,10.64898/2026.07.04.736492,,https://doi.org/10.64898/2026.07.04.736492,,,2026-09-26,not_found,abstract
jump-lite,JUMP-lite,"JUMP-lite: Compact, reproducible benchmarking of cell representations",2026,arXiv,preprint,Benchmark|Morphology|Dataset|Tool,,,https://arxiv.org/abs/2608.07632,https://github.com/afermg/JUMP_lite,,2026-09-26,repository_linked,abstract
scvision,scVision,A vision foundation model for single-cell biology via spatial gene cartography,2026,arXiv,preprint,Foundation Model|Representation Learning,,,https://arxiv.org/abs/2607.14163,,,2026-09-26,not_found,abstract
satscg,SATScG,Scaling an Autoregressive Transformer for Single-Cell Generation,2026,arXiv,preprint,Foundation Model|Representation Learning,,,https://arxiv.org/abs/2608.02961,https://github.com/haw-ai-i/SATScG,,2026-09-26,repository_linked,abstract
gene-intelligence,Gene Intelligence,Raw-count embeddings improve single-cell foundation models,2026,bioRxiv,preprint,Foundation Model|Representation Learning|Benchmark,10.64898/2026.06.29.735389,,https://doi.org/10.64898/2026.06.29.735389,,,2026-09-26,not_found,abstract
task-adapted-fm,Task-Adapted FM,Task-adapted biological foundation models uncover perturbation-centric representations,2026,bioRxiv,preprint,Foundation Model|Perturbation|Representation Learning,10.64898/2026.06.30.735584,,https://doi.org/10.64898/2026.06.30.735584,,,2026-09-26,not_found,abstract
species-native-tokens,Species-Native Tokens,Single-cell foundation modeling with species-native protein tokens links regenerative competence across frog and mouse,2026,bioRxiv,preprint,Foundation Model|Representation Learning,10.64898/2026.07.27.740807,,https://doi.org/10.64898/2026.07.27.740807,,,2026-09-26,not_found,abstract
complementary-views,Complementary Views,Beyond Gene Reconstruction: Learning Cell Representations through Complementary Transcriptomic Views,2026,arXiv,preprint,Foundation Model|Representation Learning|Gene Regulation,,,https://arxiv.org/abs/2608.00985,,,2026-09-26,not_found,abstract
tabula,Tabula,Predictive single cell foundation model for gene regulation and aging with privacy-preserving tabular learning,2026,arXiv,preprint,Foundation Model|Gene Regulation|Intervention Design,,,https://arxiv.org/abs/2607.19400,,,2026-09-26,not_found,abstract
adagenebudget,AdaGeneBudget,AdaGeneBudget: Cell-Adaptive Gene-Token Allocation for Efficient Single-Cell Foundation Models,2026,bioRxiv,preprint,Foundation Model|Tool|Representation Learning,10.64898/2026.08.06.743174,,https://doi.org/10.64898/2026.08.06.743174,,,2026-09-26,not_found,abstract
celltosg2sequence,CellTosg2Sequence,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,2026,bioRxiv,preprint,Foundation Model|Multimodal|Representation Learning,10.64898/2026.06.16.732397,,https://doi.org/10.64898/2026.06.16.732397,,,2026-09-26,not_found,abstract
stable-shift,Stable-Shift,Stable-Shift: Biologically Structured Prediction of Transcriptional Responses to Unseen Gene Perturbations,2026,arXiv,preprint,Perturbation,,,https://arxiv.org/abs/2606.24940,https://github.com/Sajib-006/PerturbGraph,,,repository_linked,abstract
pertomni,PertOmni,Learning Perturbation Effects Through Contrastive Alignment of Multimodal Biological Embeddings,2026,bioRxiv,preprint,Perturbation|Multimodal|Morphology|Representation Learning,10.64898/2026.06.23.734145,,https://doi.org/10.64898/2026.06.23.734145,,,2026-09-26,not_found,abstract
sccyclemol,scCycleMol,Modeling Cell-Cycle-Aware Single-Cell Drug Perturbation Responses,2026,arXiv,preprint,Perturbation,,,https://arxiv.org/abs/2606.30695,,,,not_found,abstract
genperturb,GenPerturb,GenPerturb: sequence-grounded interpretation of perturbation transcriptomes using pretrained genomic models,2026,bioRxiv,preprint,Perturbation|Gene Regulation,10.64898/2026.07.01.735806,,https://doi.org/10.64898/2026.07.01.735806,https://github.com/rikenbit/GenPerturb,,2026-09-26,repository_linked,abstract
u-pert,U-Pert,Unbalanced Perturbation Dynamics For Cell Fate Design,2026,bioRxiv,preprint,Perturbation|Dynamics|Intervention Design,10.64898/2026.06.30.735555,,https://doi.org/10.64898/2026.06.30.735555,,,2026-09-26,not_found,abstract
genespeak-fp,GeneSpeak-FP,GeneSpeak-FP: Target and Compound Retrieval from Observed Cell-Level Perturbation Signatures,2026,arXiv,preprint,Perturbation|Intervention Design,,,https://arxiv.org/abs/2607.17671,,,2026-09-26,not_found,abstract
perturbpfn,PerturbPFN,PerturbPFN: Probing the Limits of Synthetic Priors in Drug Perturbation Modelling,2026,ICML,published,Perturbation|Foundation Model|Gene Regulation,,https://arxiv.org/abs/2607.23447,,,,2026-09-26,not_found,abstract
response-decomposition,Response Decomposition,Perturbation response decomposition enables biologically aligned generalization to unseen perturbations and cellular contexts,2026,bioRxiv,preprint,Perturbation|Benchmark,10.64898/2026.07.24.740459,,https://doi.org/10.64898/2026.07.24.740459,,,2026-09-26,not_found,abstract
cytokine-atlas,Cytokine Atlas,A human cytokine response atlas to reconstruct underlying gene regulatory networks,2026,bioRxiv,preprint,Perturbation|Gene Regulation|Dataset,10.64898/2026.07.27.740961,,https://doi.org/10.64898/2026.07.27.740961,,,2026-09-26,not_found,abstract
perturbmap,PerturbMap,PerturbMap: Cross-Context Transfer of Single-Cell Perturbation Responses,2026,arXiv,preprint,Perturbation,,,https://arxiv.org/abs/2607.28090,,,,not_found,abstract
lgr,LGR,LLM-Guided Retrieval for Prediction of Molecular Perturbation Responses,2026,ICLR,published,Perturbation|Agent,,https://arxiv.org/abs/2608.01734,,,,2026-09-26,not_found,abstract
mega-ode,MEGA-ODE,MEGA-ODE: Learning Biologically Structured and Navigable Continuous Perturbation Dynamics from Sparse Omics,2026,bioRxiv,preprint,Perturbation|Dynamics|Gene Regulation|Intervention Design,10.64898/2026.08.05.742921,,https://doi.org/10.64898/2026.08.05.742921,https://github.com/Candlelight-XYJ/MEGA-ODE,,2026-09-26,repository_linked,abstract
transcouter,TranScouter,A structured study of cross-condition prediction of transcriptional responses to gene perturbations,2026,bioRxiv,preprint,Perturbation|Benchmark,10.64898/2026.07.30.741892,,https://doi.org/10.64898/2026.07.30.741892,,,2026-09-26,not_found,abstract
compass,COMPASS,COMPASS: Component-Wise Inference of Shared and Gene-Specific Perturbation Response,2026,bioRxiv,preprint,Perturbation,10.64898/2026.08.03.742643,,https://doi.org/10.64898/2026.08.03.742643,,,,not_found,abstract
slim,SLIM,SLIM: A small linear model with STRING embeddings for single-cell genetic perturbation prediction,2026,bioRxiv,preprint,Perturbation,10.64898/2026.08.07.743481,,https://doi.org/10.64898/2026.08.07.743481,https://github.com/RasmussenLab/SLIM,,,repository_linked,abstract
genegeoflow,GeneGeoFlow,Control-Anchored Residual Flow Matching Conditioned on Gene Geometry for Virtual Cell Perturbation Modeling,2026,arXiv,preprint,Perturbation,,,https://arxiv.org/abs/2608.06824,,,,not_found,abstract
perturbldm,PerturbLDM,PerturbLDM: conditional latent diffusion for modelling single-cell perturbation responses,2026,bioRxiv,preprint,Perturbation,10.64898/2026.08.07.743610,,https://doi.org/10.64898/2026.08.07.743610,https://github.com/davidroad/PerturbLDM,,,repository_linked,abstract
coladan,Coladan,"Trimodal, uncertainty-guided whole-slide framework for genome-scale spatial expression and image-only virtual perturbation in cancer cohorts",2026,Genome Medicine,published,Spatial|Morphology|Multimodal|Perturbation|Dataset,10.1186/s13073-026-01713-y,https://doi.org/10.1186/s13073-026-01713-y,,,,2026-09-26,not_found,abstract
spaceland,Spaceland,Spaceland: Histology-Guided Reconstruction of High-Resolution Whole-Organ 3D Molecular Atlases from Sparse Spatial Transcriptomics,2026,bioRxiv,preprint,Spatial|Morphology|Multimodal,10.64898/2026.07.23.739686,,https://doi.org/10.64898/2026.07.23.739686,https://github.com/xufangfang408/Spaceland,,2026-09-26,project_match,abstract
tissueformer-digital-pathology,TissueFormer,Multi-Modal Foundation Model with Whole-Slide Attention Enables Transferrable Digital Pathology at Single-Cell Resolution,2026,bioRxiv,preprint,Spatial|Morphology|Multimodal|Foundation Model,10.64898/2026.07.31.741265,,https://doi.org/10.64898/2026.07.31.741265,https://github.com/uhlerlab/TissueFormer,,2026-09-26,project_match,abstract
voice,VOICE,VOICE: A Vision-Omics Foundation Model Integrating Direct and Retrieval-Based Prediction of In-situ Single-Cell Gene Expression,2026,arXiv,preprint,Spatial|Morphology|Multimodal|Foundation Model,,,https://arxiv.org/abs/2608.08366,,,2026-09-26,not_found,abstract
vista,VISTA,Virtual spatial transcriptomics from histopathology enables prognostic and therapeutic response prediction in cancer,2026,bioRxiv,preprint,Spatial|Morphology|Multimodal,10.64898/2026.08.04.742671,,https://doi.org/10.64898/2026.08.04.742671,,,2026-09-26,not_found,abstract
squint,SQUINT,Learning Discrete Cell and Niche Codes from Spatial Transcriptomics Using Dual Residual Vector Quantization,2026,bioRxiv,preprint,Spatial|Representation Learning,10.64898/2026.08.07.743490,,https://doi.org/10.64898/2026.08.07.743490,https://github.com/Lotfollahi-lab/squint,,2026-09-26,project_match,abstract
mae-3d,MAE-3D,3D Masked Autoencoders are Robust Learners of Volumetric and Multimodal Cellular Representations for Microscopy,2026,arXiv,preprint,Morphology|Multimodal|Representation Learning|Benchmark,,,https://arxiv.org/abs/2606.23964,https://github.com/marrlab/mae3d-opencell,,2026-09-26,repository_linked,abstract
cell-painting-rag-audit,Cell Painting RAG Audit,Auditing Retrieval-Augmented LLM Hypotheses for Longitudinal Cell Painting Morphology,2026,arXiv,preprint,Morphology|Agent|Benchmark,,,https://arxiv.org/abs/2607.19415,,,2026-09-26,not_found,abstract
spatium,Spatium,Spatium: A Protein Language Foundation Model for Spatial Proteomics,2026,bioRxiv,preprint,Protein|Spatial|Foundation Model|Representation Learning,10.64898/2026.07.23.740264,,https://doi.org/10.64898/2026.07.23.740264,https://github.com/ploughhh/Spatium,,2026-09-26,repository_linked,abstract
perturbmatch,PerturbMatch,Joint analysis of multiply perturbed cells improves statistical power and cost efficiency in Perturb-seq,2026,bioRxiv,preprint,Perturbation|Tool,10.64898/2026.07.10.737863,,https://doi.org/10.64898/2026.07.10.737863,https://github.com/Genentech/perturbmatch,,2026-09-26,repository_linked,abstract
screpresenter,scRepresenter,"scRepresenter: a workflow for computing, integrating and benchmarking cellular representations in single-cell transcriptomics",2026,bioRxiv,preprint,Representation Learning|Tool|Benchmark|Foundation Model,10.64898/2026.07.15.738660,,https://doi.org/10.64898/2026.07.15.738660,https://github.com/GuilhermePocas/scRepresenter,,2026-09-26,project_match,abstract
cellens,CELLens,Human-Guided Causal Knowledge Injection for Virtual Cells,2026,arXiv,preprint,Virtual Cell|Gene Regulation|Tool,,,https://arxiv.org/abs/2608.08430,https://github.com/hnu-vis/CELLens,,2026-09-26,project_match,abstract
tabular-fm-perturbation,Tabular FM Perturbation,Tabular Foundation Models Are Competitive Cellular Perturbation Predictors Across Biological Scales,2026,bioRxiv,preprint,Benchmark|Perturbation|Foundation Model,10.64898/2026.06.28.735106,,https://doi.org/10.64898/2026.06.28.735106,,,2026-09-26,not_found,abstract
cellfm-datasets,CellFM-Datasets,Cellfm-datasets: A Unified Data Infrastructure for Single-Cell and Spatial Transcriptomics Foundation Model Pretraining,2026,bioRxiv,preprint,Foundation Model|Spatial|Tool,10.64898/2026.06.11.731508,,https://doi.org/10.64898/2026.06.11.731508,,,2026-09-26,not_found,abstract
ocoo-t,OCOO-T,OCOO-T : A Simple and Scalable Virtual Cell Model for Transcriptional Perturbation Response Prediction,2026,arXiv,preprint,Virtual Cell|Perturbation,,,https://arxiv.org/abs/2606.12838,,,2026-09-26,not_found,abstract
glitch-genes,Glitch Genes,Glitch genes: embedding geometry predicts functional fragility in single-cell foundation models,2026,bioRxiv,preprint,Benchmark|Foundation Model|Representation Learning,10.64898/2026.06.22.733850,,https://doi.org/10.64898/2026.06.22.733850,,,2026-09-26,not_found,abstract
vcbench,VCBench,VCBench: A Multi-Dimensional Benchmark for Single-Cell Foundation Models,2026,bioRxiv,preprint,Virtual Cell|Benchmark|Foundation Model,10.64898/2026.06.18.733146,,https://doi.org/10.64898/2026.06.18.733146,https://github.com/AppliedScientific/VCBench,,2026-09-26,repository_linked,abstract
design-space,Design Space,Elucidating the Design Space of Generative Models for Single-Cell Perturbation Prediction,2026,bioRxiv,preprint,Perturbation|Benchmark|Representation Learning,10.64898/2026.06.15.732063,,https://doi.org/10.64898/2026.06.15.732063,,,2026-09-26,not_found,abstract
pertdiffbench,PertDiffBench,PertDiffBench: Benchmarking Diffusion Models for Single-Cell Perturbation Response Prediction,2026,bioRxiv,preprint,Perturbation|Benchmark,10.64898/2026.06.13.732013,,https://doi.org/10.64898/2026.06.13.732013,,,2026-09-26,not_found,abstract
zero-shot-benchmark,Zero-Shot Benchmark,Systematic benchmarking of zero-shot utility and robustness in single-cell transcriptomic foundation models,2026,bioRxiv,preprint,Benchmark|Foundation Model|Representation Learning,10.64898/2026.06.18.733285,,https://doi.org/10.64898/2026.06.18.733285,,,2026-09-26,not_found,abstract
deepspot-m,DeepSpot-M,DeepSpot-M: a multimodal foundation model for transcriptome-wide virtual spatial transcriptomics from histology,2026,medRxiv,published,Spatial|Morphology|Multimodal|Foundation Model,10.64898/2026.06.19.26356060,https://doi.org/10.64898/2026.06.19.26356060,,https://github.com/ratschlab/DeepSpotM,,2026-09-26,repository_linked,abstract
v3cell,V3Cell,V3Cell: A Vision-Guided Virtual 3D Cell Framework for Phenotypic Modeling and Perturbation Prediction,2026,bioRxiv,preprint,Virtual Cell|Morphology|Perturbation|Dynamics,10.64898/2026.06.23.734130,,https://doi.org/10.64898/2026.06.23.734130,https://github.com/Laineyoulu/V3Cell,,2026-09-26,repository_linked,abstract
cross-context-drugpert,Cross-Context DrugPert,Enhancing Cross-Context Generalization in Drug Perturbation Prediction with a Multimodal Conditional Diffusion Framework,2026,Bioinformatics,published,Perturbation|Multimodal,10.1093/bioinformatics/btag482,https://doi.org/10.1093/bioinformatics/btag482,,https://github.com/Panda-myj/PertDiff,,2026-09-26,paper_linked,abstract
scicore-omics,SciCore-Omics,"SciCore-Omics: a tri-modal foundation model unifying histology, spatial transcriptomics and language for spatial biology",2026,bioRxiv,preprint,Foundation Model|Spatial|Morphology|Multimodal,10.64898/2026.05.30.728937,,https://doi.org/10.64898/2026.05.30.728937,,,2026-09-26,not_found,abstract
holocell,HoloCell,HoloCell: A Generative Foundation Model for Holistic Cellular Modeling,2026,bioRxiv,preprint,Virtual Cell|Foundation Model|Multimodal|Protein,10.64898/2026.06.07.730684,,https://doi.org/10.64898/2026.06.07.730684,,,2026-09-26,not_found,abstract
fm-roadmap,FM Roadmap,A User’s Roadmap to Foundation Models on Single-Cell and Spatial-Omics – Cell Type and Lineage applications,2026,National Science Review,published,Foundation Model|Spatial|Review,10.1093/nsr/nwag371,https://doi.org/10.1093/nsr/nwag371,,,,2026-09-26,not_found,title_and_metadata
perturbcellrl,PerturbCellRL,PerturbCellRL: Verifier-Guided Reinforcement Learning for Single-Cell Perturbation Prediction,2026,arXiv,preprint,Perturbation,,,https://arxiv.org/abs/2606.27752,,,,not_found,abstract
kg-reasoning-llm,KG-Reasoning LLM,Knowledge Graphs and Reasoning LLMs for Finding Simple Yet Effective Transcriptomic Perturbation Predictors,2026,arXiv,preprint,Perturbation|Agent,,,https://arxiv.org/abs/2606.08816,,,2026-09-26,not_found,abstract
cross-modal-transfer,Cross-Modal Transfer,Single-Cell Cross-Modal Transfer by Adversarial Fine-Tuning of Foundation Models,2026,arXiv,preprint,Foundation Model|Multimodal|Spatial,,,https://arxiv.org/abs/2606.07676,,,2026-09-26,not_found,abstract
bridge,BRIDGE,BRIDGE: A Multi-organ Histo-ST Foundation Model Enables Virtual Spatial Transcriptomics for Enhanced Few-shot Cancer Diagnosis,2026,bioRxiv,preprint,Foundation Model|Morphology|Spatial|Multimodal,10.64898/2026.05.05.722971,,https://doi.org/10.64898/2026.05.05.722971,,,2026-09-26,not_found,abstract
morphodynamics-expr,Morphodynamics-Expr,Single-cell morphodynamical trajectories enable prediction of gene expression accompanying cell state change,2026,Cell Systems,published,Morphology|Dynamics|Multimodal,10.1016/j.cels.2026.101567,https://doi.org/10.1016/j.cels.2026.101567,,,,2026-09-26,not_found,abstract
morph-transcriptomic-genmodel,Morph-Transcriptomic GenModel,A generative framework for predicting cellular morphological and transcriptomic perturbation responses,2026,Cell Reports Methods,published,Perturbation|Morphology|Multimodal,10.1016/j.crmeth.2026.101459,https://doi.org/10.1016/j.crmeth.2026.101459,,,,2026-09-26,not_found,abstract
doformer,DoFormer,DoFormer: Causal Transformer for Gene Perturbation,2026,bioRxiv,preprint,Perturbation|Gene Regulation|Multimodal,10.64898/2026.05.02.722054,,https://doi.org/10.64898/2026.05.02.722054,,,2026-09-26,not_found,abstract
regformer,RegFormer,RegFormer: a single-cell foundation model powered by gene regulatory hierarchies,2026,Nature Communications,published,Foundation Model|Gene Regulation|Representation Learning,10.1038/s41467-026-72198-x,https://doi.org/10.1038/s41467-026-72198-x,,,,2026-09-26,not_found,abstract
spurious-correlation,Spurious Correlation,Spurious correlation inflates performance in single-cell perturbation prediction,2026,bioRxiv,preprint,Benchmark|Perturbation,10.64898/2026.05.07.723486,,https://doi.org/10.64898/2026.05.07.723486,,,2026-09-26,not_found,abstract
scarchon,scArchon,scArchon: a scalable benchmarking framework for assessing single-cell perturbation models,2026,Genome Biology,published,Benchmark|Perturbation|Tool,10.1186/s13059-026-04104-z,https://doi.org/10.1186/s13059-026-04104-z,,https://github.com/hdsu-bioquant/scArchon,,2026-09-26,project_match,abstract
chemical-pert-dl,Chemical Pert DL,Deep learning models for chemical perturbation prediction do not yet utilise drug molecular features,2026,bioRxiv,preprint,Benchmark|Perturbation,10.64898/2026.05.13.724458,,https://doi.org/10.64898/2026.05.13.724458,,,2026-09-26,not_found,abstract
cycle-consistent-genmodel,Cycle-Consistent GenModel,Cycle-consistent deep generative modeling unifies cellular states across unpaired spatial and single-cell modalities,2026,bioRxiv,preprint,Spatial|Multimodal|Protein|Representation Learning,10.64898/2026.05.25.727736,,https://doi.org/10.64898/2026.05.25.727736,https://github.com/tansey-lab/multitme,,2026-09-26,paper_linked,abstract
statexdiff,StateXDiff,StateXDiff: Cell State-Contextualized Multimodal Diffusion for Single-Cell Perturbation Prediction,2026,arXiv,preprint,Perturbation|Multimodal,,,https://arxiv.org/abs/2605.16104,,,2026-09-26,not_found,abstract
descope,DeSCOPE,Decoding Single-Cell Omics of Perturbation Responses Using DeSCOPE,2026,bioRxiv,preprint,Perturbation|Multimodal,,,https://www.biorxiv.org/content/10.64898/2026.04.13.718147v1,https://github.com/Peg-Wu/DeSCOPE,,2026-09-26,repository_linked,abstract
dataset-size-diversity,Dataset Size & Diversity,Evaluating the role of pretraining dataset size and diversity on single-cell foundation model performance,2026,Nature Methods,published,Foundation Model|Benchmark,,https://www.nature.com/articles/s41592-026-03120-y,,https://github.com/microsoft/scFM-dataselection,,2026-09-26,project_match,abstract
lingshu-cell,Lingshu-Cell,Lingshu-Cell: A generative cellular world model for transcriptome modeling toward virtual cells,2026,arXiv,preprint,Virtual Cell|World Model|Foundation Model|Perturbation,,,https://arxiv.org/abs/2603.25240,,,2026-09-26,not_found,abstract
scale,SCALE,SCALE: Scalable Conditional Atlas-Level Endpoint transport for virtual cell perturbation prediction,2026,arXiv,preprint,Perturbation,,,https://arxiv.org/abs/2603.17380,,,,not_found,abstract
conditional-monge-gap,Conditional Monge Gap,Conditional Monge Gap enables generalizable single-cell perturbation modelling,2026,Nature Machine Intelligence,published,Perturbation,,https://www.nature.com/articles/s42256-026-01242-8,,https://github.com/AI4SCR/conditional-monge-gap,,,repository_linked,project_documentation
proticelli,ProtiCelli,Generative machine learning unlocks the first proteome-wide image of human cells,2026,bioRxiv,preprint,Virtual Cell|Protein|Morphology,10.64898/2026.03.31.715748,,https://doi.org/10.64898/2026.03.31.715748,https://github.com/CellProfiling/ProtiCelli,,2026-09-26,repository_linked,abstract
aethercell,AetherCell,AetherCell: A generative engine for virtual cell perturbation and in vivo drug discovery,2026,bioRxiv,preprint,Virtual Cell|Foundation Model|Perturbation|Intervention Design,,,https://www.biorxiv.org/content/10.64898/2026.03.13.710968v1,https://github.com/Wenyuan-AI4science/AetherCell,,2026-09-26,repository_linked,abstract
alphacell,AlphaCell,Towards building a World Model to simulate perturbation-induced cellular dynamics by AlphaCell,2026,bioRxiv,preprint,Virtual Cell|World Model|Perturbation|Dynamics,10.64898/2026.03.02.709176,,https://doi.org/10.64898/2026.03.02.709176,,,2026-09-26,not_found,abstract
vcworld,VCWorld,VCWorld: A Biological World Model for Virtual Cell Simulation,2026,ICLR,published,Virtual Cell|World Model|Foundation Model|Perturbation,,https://openreview.net/forum?id=hhq89Hs7T3,,https://github.com/GENTEL-lab/VCWorld,,2026-09-26,repository_linked,project_documentation
spatial-perturb-seq,Spatial Perturb-seq,Spatial perturb-seq: single-cell functional genomics within intact tissue architecture,2026,Nature Communications,published,Perturbation|Spatial|Dataset,,https://www.nature.com/articles/s41467-026-69677-6,,https://github.com/kimberle9/spatialperturbseq,,2026-09-26,repository_linked,abstract
celcomen,Celcomen,Celcomen: spatial causal disentanglement for single-cell and tissue perturbation modeling,2026,Nature Communications,published,Perturbation|Spatial|Gene Regulation,,https://www.nature.com/articles/s41467-026-69856-5,,https://github.com/Teichlab/celcomen,,2026-09-26,project_match,abstract
stvcr,stVCR,stVCR: spatiotemporal dynamics of single cells,2026,Nature Methods,published,Spatial|Dynamics,,https://www.nature.com/articles/s41592-026-03010-3,,https://github.com/QiangweiPeng/stVCR,,2026-09-26,repository_linked,abstract
concord,CONCORD,Revealing a coherent cell-state landscape across single-cell datasets with CONCORD,2026,Nature Biotechnology,published,Representation Learning,,https://www.nature.com/articles/s41587-025-02950-z,,https://github.com/Gartner-Lab/Concord,,2026-09-26,repository_linked,abstract
ai-scientist,AI Scientist,Towards end-to-end automation of AI research,2026,Nature,published,Agent|Related,,https://www.nature.com/articles/s41586-026-10265-5,,https://github.com/SakanaAI/AI-Scientist,,2026-09-26,paper_linked,abstract
conformation-description-language,Conformation Description Language,Bridging three-dimensional molecular structures and artificial intelligence with a conformation description language,2026,Nature Machine Intelligence,published,Protein|Multimodal|Related,10.1038/s42256-026-01068-4,https://doi.org/10.1038/s42256-026-01068-4,,,,2026-09-26,not_found,title_and_metadata
crispri-map,CRISPRi Map,A genome-scale single-cell CRISPRi map of trans gene regulation across human pluripotent stem cell lines,2026,Cell Genomics,published,Perturbation|Gene Regulation|Dataset,,https://www.cell.com/cell-genomics/fulltext/S2666-979X(25)00332-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2666979X25003325%3Fshowall%3Dtrue,,,,2026-09-26,not_found,title_and_metadata
txpert,TxPert,TxPert: using multiple knowledge graphs for prediction of transcriptomic perturbation effects,2026,Nature Biotechnology,published,Perturbation,,https://www.nature.com/articles/s41587-026-03113-4,,https://github.com/valence-labs/TxPert,,,project_match,abstract
therapeutic-design,Therapeutic Design,Deep-learning-based de novo discovery and design of therapeutics that reverse disease-associated transcriptional phenotypes,2026,Cell,published,Perturbation|Intervention Design,10.1016/j.cell.2026.02.016,https://doi.org/10.1016/j.cell.2026.02.016,,,,2026-09-26,not_found,abstract
x-pert,X-Pert,Unified Multimodal Learning Enables Generalized Cellular Response Prediction to Diverse Perturbations,2026,bioRxiv,preprint,Perturbation|Multimodal,,,https://www.biorxiv.org/content/10.1101/2025.11.13.688367v2,https://github.com/Chen-Li-17/X-Pert,,2026-09-26,project_match,abstract
mvcbench,MVCBench,MVCBench: A Multimodal Benchmark for Drug-induced Virtual Cell Phenotypes,2026,bioRxiv,preprint,Benchmark|Perturbation|Multimodal|Morphology,,,https://www.biorxiv.org/content/10.64898/2026.04.22.720110v1,https://github.com/QSong-github/MVCBench,,2026-09-26,repository_linked,abstract
harmonycell,HarmonyCell,HarmonyCell: Automating Single-Cell Perturbation Modeling under Semantic and Distribution Shifts,2026,bioRxiv,preprint,Agent|Perturbation|Tool,,,https://arxiv.org/pdf/2603.01396,,,2026-09-26,not_found,abstract
scdfm,scDFM,scDFM: Distributional Flow Matching Model for Robust Single-Cell Perturbation Prediction,2026,ICLR,published,Perturbation,,https://openreview.net/forum?id=QSGanMEcUV,,https://github.com/AI4Science-WestlakeU/scDFM,,,project_match,project_documentation
doloris,Doloris,Doloris: Dual Conditional Diffusion Implicit Bridges with Sparsity Masking Strategy for Unpaired Single-Cell Perturbation Estimation,2026,ICLR,published,Perturbation,,https://openreview.net/forum?id=rvpDHfoTd2,,https://github.com/ChangxiChi/Doloris,,,repository_linked,project_documentation
departures,Departures,Departures: Distributional Transport for Single-Cell Perturbation Prediction with Neural Schrödinger Bridges,2026,AAAI,published,Perturbation,,https://ojs.aaai.org/index.php/AAAI/article/view/39190,https://arxiv.org/abs/2511.13124,,,,not_found,abstract
petri,PETRI,PETRI: Learning Unified Cell Embeddings from Unpaired Modalities via Early-Fusion Joint Reconstruction,2026,ICLR,published,Foundation Model|Multimodal|Representation Learning,,https://openreview.net/forum?id=Vu8YXDooG5,,,,2026-09-26,not_found,title_and_metadata
strand,STRAND,STRAND: Sequence-Conditioned Transport for Single-Cell Perturbations,2026,arXiv,preprint,Perturbation|Gene Regulation,,,https://arxiv.org/abs/2602.10156,,,2026-09-26,not_found,abstract
perturbdiff,PerturbDiff,PerturbDiff: Functional Diffusion for Single-Cell Perturbation Modeling,2026,arXiv,preprint,Perturbation,,,https://arxiv.org/abs/2602.19685,https://github.com/DeepGraphLearning/PerturbDiff,,,repository_linked,abstract
scbig,scBIG,Beyond Independent Genes: Learning Module-Inductive Representations for Gene Perturbation Prediction,2026,arXiv,preprint,Perturbation|Representation Learning|Gene Regulation,,,https://arxiv.org/abs/2602.04901,https://github.com/ttruan2426-dot/scBIG,,2026-09-26,repository_linked,abstract
