id,label,title,year,venue,status,tags,doi,paper_url,preprint_url,code_url,added_at,updated_at,code_status,tag_review_basis
scgpt,scGPT,scGPT: Toward Building a Foundation Model for Single-Cell Multi-Omics Using Generative AI,2024,Nature Methods,published,Foundation Model|Representation Learning|Multimodal|Perturbation|Gene Regulation,10.1038/s41592-024-02201-0,https://doi.org/10.1038/s41592-024-02201-0,,https://github.com/bowang-lab/scGPT,,2026-09-26,project_match,abstract
tamgen,TamGen,TamGen: Drug Design with Target-Aware Molecule Generation through a Chemical Language Model,2024,Nature Communications,published,Related|Multimodal,10.1038/s41467-024-53632-4,https://doi.org/10.1038/s41467-024-53632-4,,https://github.com/microsoft/TamGen,,2026-09-26,paper_linked,abstract
genecompass,GeneCompass,GeneCompass: Deciphering Universal Gene Regulatory Mechanisms with a Knowledge-Informed Cross-Species Foundation Model,2024,Cell Research,published,Foundation Model|Representation Learning|Gene Regulation|Perturbation,10.1038/s41422-024-01034-y,https://doi.org/10.1038/s41422-024-01034-y,,https://github.com/xCompass-AI/GeneCompass,,2026-09-26,repository_linked,abstract
sctab,scTab,scTab: Scaling Cross-Tissue Single-Cell Annotation Models,2024,Nature Communications,published,Foundation Model|Representation Learning,10.1038/s41467-024-51059-5,https://doi.org/10.1038/s41467-024-51059-5,,https://github.com/theislab/scTab,,2026-09-26,repository_linked,abstract
saturn,SATURN,Toward Universal Cell Embeddings: Integrating Single-Cell RNA-Seq Datasets across Species with SATURN,2024,Nature Methods,published,Foundation Model|Representation Learning,10.1038/s41592-024-02191-z,https://doi.org/10.1038/s41592-024-02191-z,,https://github.com/snap-stanford/saturn,,2026-09-26,project_match,abstract
cell2sentence,Cell2Sentence,Cell2Sentence: Teaching Large Language Models the Language of Biology,2024,ICML,published,Foundation Model|Multimodal|Representation Learning,,https://icml.cc/virtual/2024/poster/34580,,https://github.com/vandijklab/cell2sentence,,2026-09-26,project_match,project_documentation
langcell,LangCell,LangCell: Language-Cell Pre-training for Cell Identity Understanding,2024,ICML,published,Foundation Model|Multimodal|Representation Learning,,https://icml.cc/virtual/2024/poster/34495,,https://github.com/PharMolix/LangCell,,2026-09-26,repository_linked,project_documentation
cellplm,CellPLM,CellPLM: Pre-training of Cell Language Model beyond Single Cells,2024,ICLR,published,Foundation Model|Representation Learning|Spatial,,https://openreview.net/forum?id=BKXvPDekud,,https://github.com/OmicsML/CellPLM,,2026-09-26,repository_linked,project_documentation
scprotein,scPROTEIN,scPROTEIN: A Versatile Deep Graph Contrastive Learning Framework for Single-Cell Proteomics Embedding,2024,Nature Methods,published,Protein|Representation Learning,10.1038/s41592-024-02214-9,https://doi.org/10.1038/s41592-024-02214-9,,https://github.com/TencentAILabHealthcare/scPROTEIN,,2026-09-26,repository_linked,abstract
sclinear,scLinear,scLinear Predicts Protein Abundance at Single-Cell Resolution,2024,Communications Biology,published,Protein|Multimodal,10.1038/s42003-024-05958-4,https://doi.org/10.1038/s42003-024-05958-4,,https://github.com/DanHanh/scLinear,,2026-09-26,repository_linked,abstract
perturbation-proteomics,Perturbation Proteomics,AI-Empowered Perturbation Proteomics for Complex Biological Systems,2024,Cell Genomics,published,Protein|Perturbation|Review,10.1016/j.xgen.2024.100691,https://doi.org/10.1016/j.xgen.2024.100691,,,,2026-09-26,not_found,abstract
stanford-phd-thesis,Stanford PhD Thesis,Engineering Cells Using Artificial Intelligence,2024,© by Yusuf Roohani,published,Virtual Cell|Perturbation|Intervention Design|Review,,https://stacks.stanford.edu/file/jw766pz3938/PhD_Thesis_Roohani_Yusuf_2024-augmented.pdf,,,,2026-09-26,not_found,title_and_metadata
